Data,vento,radiacao,temp_max,temp_min,umi_max,umi_min,umi_rel,press_atm,temp_media,Eto
2-5-2014,1.83248013416146,1.05401875,30.8,22.4,91,51,75.5416666666666,1002.80416666666,26.0833333333333,5.53569477770554
2-6-2014,2.28125077926222,0.623217708333333,28.7,20.9,94,63,83.9583333333333,1003.375,24.5437499999999,5.80528828455185
2-7-2014,1.82936367134826,1.088425,30.3,21.7,94,56,79.7916666666666,1004.825,25.11875,6.51166856974493
2-8-2014,1.78261672915026,0.852403124999999,30,22.2,93,59,81.7916666666666,1004.67083333333,25.4583333333333,5.97905446925067
2-9-2014,1.66730760506187,0.95345625,30,22.3,93,51,78.9583333333333,1003.96666666666,25.7645833333333,3.59850326036556
2-10-2014,1.82001428290866,0.989616666666666,30.7,22.9,92,56,76.375,1004.07499999999,26.2791666666666,4.26387926515342
2-11-2014,2.02570082857984,0.983286458333333,30,22.9,94,56,79.5,1003.4625,25.9479166666666,5.39743354806987
2-12-2014,1.82313074572186,1.16715520833333,30.2,22.8,88,51,71.7916666666666,1002.55,26.3416666666666,3.1729008084693
2-13-2014,1.67977345631467,1.19558020833333,31.2,21.8,92,43,73,1002.25,26.2333333333333,1.122571791244
2-14-2014,2.14412641548144,1.10650729166666,31.5,22.3,92,56,75.6666666666666,1003.14166666666,26.55,2.48340521686607
2-15-2014,2.41214221741662,1.04426979166666,31.7,23.7,92,53,75.8333333333333,1003.29583333333,27.0020833333333,1.65856754536567
2-16-2014,2.12854410141544,0.996180208333333,31.3,23.2,91,52,75.125,1002.69583333333,26.8791666666666,1.1671935027124
2-17-2014,1.68600638194107,1.18878333333333,30.6,22.6,93,57,76.9583333333333,1002.3125,26.2583333333333,2.23242702001091
2-18-2014,1.85741183666706,1.15083125,31.4,22.9,92,46,74.375,1002.36666666666,26.4937499999999,1.14963246994643
