list,list_lags,Eto,lags_Target,rmse,mae,nse,mbe,forecast_horizon,model,selection_attribute_type,horizon,station_name,code_execution
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.95,0.73,0.41,0.19,7,florestaAleatoria,1,7,Sete_lagoas_2012,10
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.0,0.78,0.36,0.18,10,florestaAleatoria,0,10,Sete_lagoas_2012,10
"['J', 'Tmean']","[[25, 17, 29, 13, 16, 28, 30, 26], [10]]",['Eto'],[10],0.95,0.72,0.41,0.19,10,florestaAleatoria,1,10,Sete_lagoas_2012,10
"['Tmean', 'Tmax']","[[1, 2, 3, 4], [1]]",['Eto'],"[1, 2, 3, 4, 5]",0.79,0.59,0.57,0.01,1,arvore,0,1,Sete_lagoas_2013,1
"['Tmax', 'I', 'Tmean', 'UR', 'J']","[[1], [1], [2, 1], [1], [22, 26]]",['Eto'],"[1, 2, 3]",0.79,0.6,0.56,0.02,1,arvore,1,1,Sete_lagoas_2013,1
['Tmean'],"[[3, 4, 5, 6, 7, 8, 9]]",['Eto'],"[3, 4, 5]",1.02,0.79,0.29,-0.02,3,arvore,0,3,Sete_lagoas_2013,1
"['Tmean', 'J']","[[8, 5], [26, 6, 30, 29]]",['Eto'],"[4, 3, 5, 6]",0.98,0.76,0.34,0.01,3,arvore,1,3,Sete_lagoas_2013,1
"['Tmean', 'Tmin']","[[7, 8, 9, 10, 11, 12], [7]]",['Eto'],"[7, 8, 9]",1.04,0.84,0.25,-0.01,7,arvore,0,7,Sete_lagoas_2013,1
"['Tmean', 'J']","[[9, 7, 11], [27, 30, 23, 25, 19]]",['Eto'],"[8, 11]",0.98,0.76,0.34,0.01,7,arvore,1,7,Sete_lagoas_2013,1
"['Tmean', 'Tmin']","[[10, 11, 12, 13, 14], [10]]",['Eto'],"[10, 11, 12, 13]",1.09,0.88,0.19,-0.0,10,arvore,0,10,Sete_lagoas_2013,1
