Data,vento,radiacao,temp_max,temp_min,umi_max,umi_min,umi_rel,press_atm,temp_media,Eto
10-16-2015,0.913123604267531,0.965525378787878,22.9,15.5,98,43,74.2916666666666,1010.77916666666,18.6541666666666,1.8127498137856
10-17-2015,0.969219934905127,0.47595909090909,16.6,12.4,92,55,76.375,1018.3375,14.8020833333333,1.15522297946939
10-18-2015,1.3244966956099,1.07010492424242,19.6,7.4,92,49,72.3333333333333,1019.48749999999,13.6749999999999,1.75536592966418
10-19-2015,1.13439246400471,0.746707954545454,25,12.9,94,53,78.0416666666666,1010.46666666666,17.8166666666666,1.68506822890352
10-20-2015,1.18425586901591,0.806008333333333,28.5,18,94,59,79.5833333333333,1000.88333333333,22.1541666666666,2.08397005086762
10-21-2015,1.36501071218149,0.381611647727272,24.1,14.4,98,65,82.1666666666666,1003.94999999999,19.0875,1.43063286673339
10-22-2015,1.07206320774072,0.495783617424242,24.1,14.6,98,67,88.9583333333333,1005.54166666666,18.5416666666666,0.958370539703735
10-23-2015,1.39617534031349,1.06601439393939,24.2,17.6,96,59,81.9166666666666,1012.03333333333,19.93125,1.98166769939889
10-24-2015,1.37124363780789,0.53246553030303,19.3,14.1,89,54,78.2083333333333,1017.3625,16.275,1.44272593987064
10-25-2015,1.54888201816028,0.591614015151515,21.5,13.2,91,61,78.2916666666666,1014.65416666666,16.59375,1.64998037417722
10-26-2015,0.757300463607543,0.655346969696969,26.4,16.5,90,59,79.4583333333333,1009.81666666666,20.2854166666666,1.47083951296995
10-27-2015,0.592127934507955,0.518196212121212,26.2,18.5,95,66,85.9166666666666,1009.24583333333,21.0499999999999,1.05641685254538
10-28-2015,1.75145210101826,0.927957954545454,25.2,18.9,97,69,84.5,1011.19166666666,21.4104166666666,1.93378132261661
10-29-2015,1.2123040343347,1.19401818181818,31,18.4,91,50,74.75,1010.0875,23.275,2.93073483176942
10-30-2015,1.10634429868591,0.850410606060606,30.6,19.1,91,46,72.3333333333333,1006.47083333333,23.9854166666666,2.73400220478657
10-31-2015,1.17179001776311,0.226002272727272,22.6,17.6,97,82,91.7083333333333,1007.42083333333,20.1749999999999,0.719113903347583
